2913,7752,13312,36548,811,9393,10257,3753,21486,9352,26575,24816,0,28691,50962,21219,30425,48433,39606,37607,29459,93465,143702,78912,75590,44919,30061,42568,43988,71509,31301,33361,36384,58493,29008,23050,10611,35269,52296,66822,74368,41283,56108,30750,31819,80475,81167,81121,89709,100327,95045,89125,130979,129122,120115,129917,52731,54382,13566,28206,75697,43009,47073,25651,33131,38151,116392,162612,155824,3118,46450,40529,33255,93851,29844,45185,37274,60981,67579,15737,46881,54410,82856,79598,88550,77853
27454,30390,15653,8990,28785,29699,38179,27617,27205,24612,31608,9904,28691,0,32217,17336,3840,29900,34196,41051,29682,105077,156422,85573,77669,54268,46623,64070,65524,95177,58235,56091,60166,84624,56712,50558,38006,63577,79438,95512,102576,69968,84759,46504,46567,107385,108086,106488,118384,127953,120752,116318,159651,157793,148287,158577,56726,62282,33450,55643,104022,51053,48372,52263,52099,10555,144289,191294,184515,31287,55471,30496,27209,105602,57573,73035,59861,62134,95689,33884,49720,64787,110120,106474,109679,105069
48379,47532,39550,34877,51502,45700,56597,52072,33634,42291,63314,42027,50962,32217,0,29756,28377,2551,20575,32610,27651,90380,140238,67548,56065,45965,49308,67278,68485,97394,70794,62715,67294,109318,79404,73734,61568,84585,102697,112488,122890,87521,103006,76710,77075,115302,115988,110966,133728,137080,125141,124564,174110,172247,168134,172801,88942,94392,46360,69640,123847,42538,80553,65301,55350,24456,153905,205606,199742,52072,46371,61777,59333,91017,80195,95010,65415,42363,116470,45055,81935,54485,118861,114350,106708,113937
18625,18361,11425,26145,21779,16785,27454,22586,9905,12694,38457,22065,21219,17336,29756,0,16165,27235,21082,24707,13401,88145,139475,69485,62849,37204,29614,47572,49004,78894,44673,40231,44570,79586,49766,44016,31816,55299,73098,84851,94078,59366,74766,48923,49576,92766,93469,90837,107000,113912,105183,101884,148025,146157,139658,146833,65860,69663,18912,42718,95198,34110,58424,38750,35334,22082,130520,179696,173348,22365,38472,44295,38956,88652,50572,65596,43812,47328,87483,18532,59118,47738,95809,91833,92665,90759
28877,31206,17126,10354,30611,30280,39456,29767,26034,25255,35339,13710,30425,3840,28377,16165,0,26062,31169,38757,27536,102907,154230,82974,74694,52315,45776,63610,65052,94872,58954,55956,60161,87311,58953,52826,40189,65606,81893,97132,104685,71527,86508,49973,50092,107855,108558,106522,119863,128653,120834,116866,161106,159243,150429,160000,60566,66104,33657,56535,106067,49015,52206,52964,51449,7775,145094,192774,186103,32809,53457,34133,31028,103445,59810,75268,59644,59206,97842,33827,53560,62785,110707,106935,108830,105651
45860,45078,37000,32918,48969,43261,54156,49526,31340,39796,60874,39667,48433,29900,2551,27235,26062,0,19169,31210,25606,90176,140299,67576,56436,44835,47449,65551,66780,95871,68610,60765,65348,106810,76915,71229,59041,82145,100217,110225,120513,85194,100680,74185,74559,113483,114172,109340,131561,135232,123553,122745,172020,170156,165802,170721,86622,91998,44013,67393,121487,41370,78266,63073,53523,22513,152051,203542,197629,49567,45316,59664,57066,90804,77709,92556,63541,42367,114072,42753,79616,53639,117004,112532,105572,112063
36704,33810,32445,41108,40333,31760,42040,41982,18403,30261,59540,41793,39606,34196,20575,21082,31169,19169,0,12049,10411,73530,124504,52326,43525,25818,29414,46920,48084,76820,52459,43056,47585,95336,65298,60294,49481,69237,87971,94494,106108,70385,85708,69342,70125,95064,95744,90440,114908,116895,104589,104319,154773,152918,150621,153412,86921,90713,30644,51883,106823,22317,79384,47444,35285,32485,133724,186116,180496,39576,26418,64057,59406,74118,66002,79778,45445,28058,100033,28751,80148,35141,98714,94113,86475,93840
34775,30440,34555,49098,38410,28473,37027,40736,17080,28980,61273,46773,37607,41051,32610,24707,38757,31210,12049,0,11417,64157,115472,44783,38731,14268,18888,35316,36409,64815,43179,32459,36844,88990,59500,55219,46060,62301,81166,84961,97482,61878,76848,68348,69378,83481,84155,78525,104571,105342,92627,92719,143920,142073,141208,142518,88703,91416,25684,43219,97999,10758,81864,38826,24271,41847,122161,175104,169685,36631,15134,68954,63348,64700,60110,72711,34398,23566,91732,23406,82250,24337,87220,82532,74567,82406
26546,23420,23895,37890,30209,21367,31646,32052,8042,20180,51007,35440,29459,29682,27651,13401,27536,25606,10411,11417,0,75415,126756,56173,49506,24813,22131,40553,41862,71536,43282,35202,39785,84978,54918,49884,39144,59009,77682,85187,96300,60641,76060,59643,60514,88096,88789,84527,106144,109773,98842,97349,146459,144596,141128,145149,78507,81760,20310,42361,97099,21482,71353,37958,28264,31282,126577,177956,172097,29259,25926,57696,52290,75946,55629,69551,38105,34030,90110,18511,71896,35253,91539,87146,83267,86572
91386,85864,96110,113253,94219,84649,86941,97209,78898,87835,119983,109816,93465,105077,90380,88145,102907,90176,73530,64157,75415,0,51346,23806,37633,50957,63411,55825,54918,51979,75234,64149,64041,121377,100339,99578,97149,97912,112858,99394,115667,90002,98219,121291,122757,74949,75261,63183,107371,91507,70603,81011,134909,133383,147093,133145,145807,146183,80046,78305,114733,54052,140534,76396,60912,105711,105059,161180,158775,91049,49673,131259,124841,700,100453,105031,61245,48188,113149,78083,140261,40437,79159,74355,40350,76942
